skill_raw;skill_normalized;domain;field;type_of_skill
environmental services;Sustainability;Sustainability, Prevention, Safety;Environment, Sustainability;Hard
business operations;Business Management;Sales, Operations, Management;Sales, Operations;Hard, Soft
maintenance;Maintenance;General;General;Soft
administration;Financial Services;Finance;Finance;Hard
adaptability;Flexibility;General;General;Soft
commitment to sustainability.;Sustainability;Sustainability, Prevention, Safety;Environment, Sustainability;Hard
attention to detail;Attention to Detail;General;General;Soft
safety awareness;Health and Safety;Safety, Prevention;General, Healthcare;Hard, Soft
mechanical skills;Mechanics;Mechanical Engineering;Engineering;Hard
fast-paced work;Resilience;General;General;Soft
work under pressure;Resilience;General;General;Soft
motor mechanic;Mechanics;Mechanical Engineering;Engineering;Hard
mechanical repairs;Mechanics;Mechanical Engineering;Engineering;Hard
servicing;Customer Support;General, Sales;General, Sales;Hard, Soft
engine management;Mechanical Engineering;Engineering;Design, Engineering;Hard
brakes;Fleet Maintenance;Maintenance;Automotives, Engineering;Hard
suspension;Fleet Maintenance;Maintenance;Automotives, Engineering;Hard
tyre fitting;Tire Maintenance;Automotives;Automotives;Hard
vehicle makes and models;Mechanical Engineering;Engineering;Design, Engineering;Hard
safety compliance;Health and Safety;Safety, Prevention;General, Healthcare;Hard, Soft
wheel alignment;Fleet Maintenance;Maintenance;Automotives, Engineering;Hard
HSE policies and procedures.;Sustainability;Sustainability, Prevention, Safety;Environment, Sustainability;Hard
sales leadership;Leadership;General;Communication;Soft
selling;Sales;Sales;Sales;Hard, Soft
presentation;Visual Communication;General;Communication, Design;Soft
passion for work health and safety;Health and Safety;Safety, Prevention;General, Healthcare;Hard, Soft
production management;Process Management;Operations;General;Hard, Soft
mechanical aptitude;Mechanics;Mechanical Engineering;Engineering;Hard
cost reduction;Budgeting;Accounting, Finance, Operations;General, Legal;Hard
willingness to work alternating hours;Flexibility;General;General;Soft
trade qualification in mechanical or electrical;Mechanics;Mechanical Engineering;Engineering;Hard
Bandag Master Craftsman certificate;Crafting;Crafting;General;Hard
sustainability awareness.;Sustainability;Sustainability, Prevention, Safety;Environment, Sustainability;Hard
monitoring;Reporting;General;General;Hard, Soft
KPI;Performance Marketing;Marketing;Marketing;Hard, Soft
cybersecurity;Cybersecurity;Computer Science, DevOps, Software Engineering;IT;Hard
operational technology;OT;Computer Science, Software Engineering;IT;Hard
industrial control systems;Microcontrollers;Computer Science, Software Engineering, Electronics;IT, Electronics, Engineering;Hard
supervisory control and data acquisition;SCADA;Data Analytics, Data Engineering, Software Engineering;IT;Hard
security policies;Security Protocols;Operations, Prevention;General;Hard
security incident identification;Security Protocols;Operations, Prevention;General;Hard
security incident response;Security Protocols;Operations, Prevention;General;Hard
security incident remediation;Security Protocols;Operations, Prevention;General;Hard
compliance requirements;Corporate and Business Law;Legal;General, Legal;Hard
security operations;Security Protocols;Operations, Prevention;General;Hard
audit readiness;Auditing;General;General;Hard
physical security;Security Protocols;Operations, Prevention;General;Hard
access control;Security Protocols;Operations, Prevention;General;Hard
security architecture;Security Protocols;Operations, Prevention;General;Hard
continuity of operations;Operations Management;Operations;Operations;Hard, Soft
contingency planning;Risk Management;Operations;Operations;Hard
application security;Security Protocols;Operations, Prevention;General;Hard
network security architecture;Network Administration;Computer Science;IT;Hard
firewall rules;Network Administration;Computer Science;IT;Hard
SIEM;Network Administration;Computer Science;IT;Hard
root cause analysis;Root Cause Analysis;Computer Science;IT;Hard
systems analysis;Computer Science;General, Computer Science;IT;Hard
log analysis;Computer Science;General, Computer Science;IT;Hard
chemical engineering;Chemical Engineering;Engineering;Engineering;Hard
new product testing;Product Management;Design, Product Management, Engineering, UX;Design;Hard
product evaluation;Product Management;Design, Product Management, Engineering, UX;Design;Hard
material inspection;Auditing;General;General;Hard
curing process;Auditing;General;General;Hard
product specifications;Product Management;Design, Product Management, Engineering, UX;Design;Hard
process creation;Operations Management;Operations;Operations;Hard, Soft
quality control;Quality Control;QA, Computer Science;QA, IT;Hard
standard creation;Operations Management;Operations;Operations;Hard, Soft
equipment testing;Product Management;Design, Product Management, Engineering, UX;Design;Hard
tire improvement;Tire Maintenance;Automotives;Automotives;Hard
AutoCAD proficiency;AutoCAD;Design, Product Management, Engineering, UX;Design;Hard
ISO/IATF16949 knowledge;ISO 16949;Design, Product Management, Engineering, UX;Design;Hard
ISO 14001 knowledge;ISO 14001;Sustainability, Prevention, Safety;Environment, Sustainability;Hard
ISO 50001 knowledge.;ISO 50001;Sustainability;Environment, Sustainability;Hard
financial management;Financial Services;Finance;Finance;Hard
cost efficiencies;Budgeting;Accounting, Finance, Operations;General, Legal;Hard
scenario-based financial options;Financial Services;Finance;Finance;Hard
business cases;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
financial governance;Financial Services;Finance;Finance;Hard
stakeholder engagement;Economics;Economics;Economics;Hard
savings initiatives;Economics;Economics;Economics;Hard
performance KPIs;Performance Marketing;Marketing;Marketing;Hard, Soft
CA;Accounting;Accounting, Finance, Operations;General, Legal;Hard
CPA;Accounting;Accounting, Finance, Operations;General, Legal;Hard
CIMA;Accounting;Accounting, Finance, Operations;General, Legal;Hard
commercial business drivers;Driver License Ability;General;Automotives, General;Soft
data analytics;Data Analytics;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
strategic direction;Strategic Management;Operations, Sales;General, Operations, Sales;Hard, Soft
profitability models;Business Development;Sales, Marketing, Operations;Sales, Operations;Soft
premium tires;Tire Maintenance;Automotives;Automotives;Hard
team collaboration;Teamwork;General;Communication;Soft
working under pressure;Resilience;General;General;Soft
independent work;Problem Solving;General;General;Soft
heavy vehicle tyre maintenance;Tire Maintenance;Automotives;Automotives;Hard
workplace health & safety;Health and Safety;Safety, Prevention;General, Healthcare;Hard, Soft
LR/MR license;Rigid Vehicles;Automotives;Automotives;Hard
Australian work rights;Labor Law Supervision;Legal;Legal;Hard
national police check.;Workplace Policy Conduct;Legal, Management;General, Legal;Hard, Soft
sap businessobjects;SAP;Operations;General;Hard, Soft
powerbi;Microsoft Power BI;Data Analytics;IT, Statistics;Hard
oracle;Oracle;Data Engineering, Software Engineering;IT;Hard
data management;Data Management;Data Science, Data Analytics, Data Engineering;IT, Statistics;Hard
governance framework;Corporate Governance;Operations, Legal;Operations, Legal;Hard, Soft
statistical algorithms;Algorithms;Software Engineering, Data Science;IT, Statistics;Hard
dashboard design;Dashboard Design;Design, Marketing;Design, Marketing;Hard, Soft
budget planning;Budgeting;Accounting, Finance, Operations;General, Legal;Hard
sales forecasting;Business Planning;Sales, Operations;Sales, Operations;Hard, Soft
demand planning;Demand Forecasting;Data Analytics, Data Science;IT, Statistics;Hard
accuracy;Attention to Detail;General;General;Soft
deadline adherence.;Time Management;General;General;Soft
Australian work rights.;Labor Law Supervision;Legal;Legal;Hard
heavy vehicle maintenance;Rigid Vehicles;Automotives;Automotives;Hard
safety;Health and Safety;Safety, Prevention;General, Healthcare;Hard, Soft
commitment to safety;Health and Safety;Safety, Prevention;General, Healthcare;Hard, Soft
inspecting;Auditing;General;General;Hard
evaluating;Auditing;General;General;Hard
improving;Result Driven;General;General;Soft
machinery;Industrial Engineering;Design, Product Management, Engineering, UX;Design;Hard
materials;Materials Management;Materials, Operations, General;Operations, General;Hard, Soft
developing;Computer Science;Computer Science, Software Engineering;IT;Hard
spec;Computer Science;Computer Science, Software Engineering;IT;Hard
standard;Operations Management;Operations;Operations;Hard, Soft
tire curing;Tire Maintenance;Automotives;Automotives;Hard
production process;Process Management;Operations;General;Hard, Soft
information gathering;Data Collection;Data Engineering, QA;IT;Hard
process handout;Process Management;Operations;General;Hard, Soft
effective process improvement;Process Management;Operations;General;Hard, Soft
quality controlling;Quality Control;QA, Computer Science;QA, IT;Hard
operation review;Marketing Management;Marketing;Marketing;Hard, Soft
working process development;Business Process;Sales, Operations;Sales, Operations;Hard, Soft
standard handling;Operations Management;Operations;Operations;Hard, Soft
modern curing standard improvement;Operations Management;Operations;Operations;Hard, Soft
material orders testing;Materials Management;Materials, Operations, General;Operations, General;Hard, Soft
damaged tire improvement;Tire Maintenance;Automotives;Automotives;Hard
action plan development;Business Development;Sales, Marketing, Operations;Sales, Operations;Soft
working procedure improvement;Business Development;Sales, Marketing, Operations;Sales, Operations;Soft
technical skills;Operations Management;Operations;Operations;Hard, Soft
environmental survey;Survey Design;CRO, Research;Marketing, Design, Research;Hard, Soft
environmental activities;Sustainability;Sustainability, Prevention, Safety;Environment, Sustainability;Hard
environmental training;Sustainability;Sustainability, Prevention, Safety;Environment, Sustainability;Hard
environmental equipment;PPE Management;Prevention, Safety;Safety, General;Hard, Soft
environmental laws and regulations;Sustainability;Sustainability, Prevention, Safety;Environment, Sustainability;Hard
environmental regulatory compliance;Sustainability;Sustainability, Prevention, Safety;Environment, Sustainability;Hard
ISO system;ISO 14001;Sustainability, Prevention, Safety;Environment, Sustainability;Hard
recurrence prevention;Security Protocols;Operations, Prevention;General;Hard
English communication;English;General;General, Languages;Soft
environment.;Sustainability;Sustainability, Prevention, Safety;Environment, Sustainability;Hard
community relations;Public Relations;General, Marketing;Communication, Marketing;Soft
employee welfare;Benefits Administration;HR;HR;Hard
internal communication;Communication;General;Communication;Soft
report preparation;Reporting;General;General;Hard, Soft
social science;Social Science;Research;Research;Hard, Soft
flexible;Flexibility;General;General;Soft
surveying skills;Survey Design;CRO, Research;Marketing, Design, Research;Hard, Soft
training plan development skills;Training;Sales, Marketing, Operations;General, Sales, Operations;Soft
training coordination skills;Training;Sales, Marketing, Operations;General, Sales, Operations;Soft
OJT training skills;Training;Sales, Marketing, Operations;General, Sales, Operations;Soft
training course preparation skills;Training;Sales, Marketing, Operations;General, Sales, Operations;Soft
training evaluation skills;Training;Sales, Marketing, Operations;General, Sales, Operations;Soft
training budgeting skills;Training;Sales, Marketing, Operations;General, Sales, Operations;Soft
English communication skills;English;General;General, Languages;Soft
automotive industry knowledge;Automotives;General;Automotives, General;Hard
strategic thinking;Problem Solving;General;General;Soft
prioritization skills;Prioritization Skills;General;General;Soft
resilience;Resilience;General;General;Soft
ability to influence without direct authority;Influencing Skills;General;Communication;Soft
proactive;Problem Solving;General;General;Soft
well-organized;Operations Management;Operations;Operations;Hard, Soft
high-quality output;Quality Control;QA, Computer Science;QA, IT;Hard
Bachelor's degree in Business Management;Business Management;Sales, Operations, Management;Sales, Operations;Hard, Soft
Mathematics or related discipline;Mathematics;Mathematics;Research;Hard
8 years of relevant experience;Experienced;General;General;Hard, Soft
hr generalist;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
communications;Communication;General;Communication;Soft
offboarding;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
work pass;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
training management;Business Development;Sales, Marketing, Operations;Sales, Operations;Soft
HRIS;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
data accuracy;Data Analysis;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
governance;Corporate Governance;Operations, Legal;Operations, Legal;Hard, Soft
SLAs;Legal Counseling;Legal;General, Legal;Hard
management reporting;Reporting;General;General;Hard, Soft
policies;Workplace Policy Conduct;Legal, Management;General, Legal;Hard, Soft
procedures;Business Process;Sales, Operations;Sales, Operations;Hard, Soft
best practices;Quality Control;QA, Computer Science;QA, IT;Hard
payroll process;Accounting;Accounting, Finance, Operations;General, Legal;Hard
critical thinking;Critical Thinking;General;General;Soft
integrity;Work Ethic;General;General;Soft
SuccessFactors;SAP SuccessFactors;Software Engineering, Data Science;IT;Hard
mom local legislations;Legal Counseling;Legal;General, Legal;Hard
work passes;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
hr data management;HR Analytics;HR;HR;Hard
confidentiality;Communication;General;Communication;Soft
database applications;Database Administration;Software Engineering, Data Engineering;IT;Hard
valuation;Product Management;Design, Product Management, Engineering, UX;Design;Hard
real estate;Sales;Sales;Sales;Hard, Soft
feasibility reports;Reporting;General;General;Hard, Soft
business plans;Business Planning;Sales, Operations;Sales, Operations;Hard, Soft
contracts;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
results-oriented;Result Driven;General;General;Soft
responsibility;Accountability;General;General;Soft
initiative;Proactivity;General;General;Soft
modelling tools;Database Administration;Software Engineering, Data Engineering;IT;Hard
warehouse management;Warehouse Management;Operations;Operations;Hard
English language proficiency;English;General;General, Languages;Soft
basic knowledge of industrial management;Business Management;Sales, Operations, Management;Sales, Operations;Hard, Soft
destruction of unused materials;Sustainability;Sustainability, Prevention, Safety;Environment, Sustainability;Hard
quality management system;Quality Management System;Sales, Operations;Sales, Operations;Hard, Soft
customer requirements;Customer Relationship Management;Customer Relationship Management;Sales, Marketing;Hard
IATF16949;ISO 16949;Design, Product Management, Engineering, UX;Design;Hard
tire regulation;Tire Maintenance;Automotives;Automotives;Hard
quality tools;Process Management;Operations;General;Hard, Soft
MS application proficiency;Microsoft Office;Operations;General;Hard, Soft
programming;Computer Programming;Computer Science;IT;Hard
testing development;Test-Driven Development;Computer Science, DevOps, Software Engineering, QA;IT;Hard
8D analysis;Problem Solving;General;General;Soft
Why-Why analysis;Problem Solving;General;General;Soft
quality trouble management;Quality Control;QA, Computer Science;QA, IT;Hard
problem resolution;Problem Solving;General;General;Soft
inspection;Auditing;General;General;Hard
material control;Quality Control;QA, Computer Science;QA, IT;Hard
quality system maintenance;Quality Control;QA, Computer Science;QA, IT;Hard
ISO standards;ISO 14001;Sustainability, Prevention, Safety;Environment, Sustainability;Hard
technical knowledge;Operations Management;Operations;Operations;Hard, Soft
tire inspection;Tire Maintenance;Automotives;Automotives;Hard
complaint handling;Customer Support;General, Sales;General, Sales;Hard, Soft
user training;Business Development;Sales, Marketing, Operations;Sales, Operations;Soft
deadline adherence;Time Management;General;General;Soft
oem business;Manufacturing;Industrial Engineering, General;General, Engineering;Hard
sales strategy;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
capacity planning;Project Management;Project Management;General;Hard
supply planning;Supply Chain Management;Supply Chain, Operations, Logistics;Supply Chain, Logistics;Hard
network management;Network Administration;Computer Science;IT;Hard
project estimation;Financial Analysis;Data Analytics, Finance;IT, Statistics, Finance;Hard
machine design;Industrial Engineering;Design, Product Management, Engineering, UX;Design;Hard
electrical construction;Electrical Wiring;Electronics, Electrical Wiring;Electronics;Hard
programming skills;Computer Programming;Computer Science;IT;Hard
dispatching;Operations Management;Operations;Operations;Hard, Soft
route scheduling;Operations Management;Operations;Operations;Hard, Soft
driver assignment;Driver License Ability;General;Automotives, General;Soft
documentation management;Account Management;Account Management;General;Hard, Soft
safety procedures;Health and Safety;Safety, Prevention;General, Healthcare;Hard, Soft
goal-oriented;Result Driven;General;General;Soft
high school diploma;Well Educated;Schooling;General;Hard, Soft
experience in customer-facing position;Customer Support;General, Sales;General, Sales;Hard, Soft
dispatcher experience preferred;Operations Management;Operations;Operations;Hard, Soft
scheduling;Organizational Skills;General;General;Soft
maintenance policy;Workplace Policy Conduct;Legal, Management;General, Legal;Hard, Soft
equipment;PPE Management;Prevention, Safety;Safety, General;Hard, Soft
tools;Product Management;Design, Product Management, Engineering, UX;Design;Hard
production operations;Operations Management;Operations;Operations;Hard, Soft
work orders;Process Management;Operations;General;Hard, Soft
feedback analysis;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
degree/diploma or master;Well Educated;Schooling;General;Hard, Soft
previous experience;Experienced;General;General;Hard, Soft
disaster prevention;Health and Safety;Safety, Prevention;General, Healthcare;Hard, Soft
regulations;Corporate and Business Law;Legal;General, Legal;Hard
occupational health;Healthcare and Medical Services;Safety, Prevention;General, Healthcare;Hard, Soft
safety engineering;Health and Safety;Safety, Prevention;General, Healthcare;Hard, Soft
organization mission;Business Planning;Sales, Operations;Sales, Operations;Hard, Soft
survey;Survey Design;CRO, Research;Marketing, Design, Research;Hard, Soft
report;Reporting;General;General;Hard, Soft
individual training course;Training;Sales, Marketing, Operations;General, Sales, Operations;Soft
budget;Budgeting;Accounting, Finance, Operations;General, Legal;Hard
technology knowledge;Tech Savvy;Computer Science, Software Engineering;IT;Hard
Bachelor's degree;Survey Design;CRO, Research;Marketing, Design, Research;Hard, Soft
working experience;Experienced;General;General;Hard, Soft
general labor;Physical Endurance and Skills;General;General;Hard, Soft
safe practices;Health and Safety;Safety, Prevention;General, Healthcare;Hard, Soft
yard clean-up;Maintenance;General;General;Soft
fueling;Automotives;General;Automotives, General;Hard
vehicle operation;Automotives;General;Automotives, General;Hard
office maintenance;Maintenance;General;General;Soft
janitorial work;Maintenance;General;General;Soft
traffic direction;Traffic Directing;General;General, Automotives;Hard, Soft
environmental responsibility;Sustainability;Sustainability, Prevention, Safety;Environment, Sustainability;Hard
human-centered culture;Business Management;Sales, Operations, Management;Sales, Operations;Hard, Soft
fueling vehicles;Automotives;General;Automotives, General;Hard
general vehicle operation;Automotives;General;Automotives, General;Hard
general office maintenance;Maintenance;General;General;Soft
cleaning track on track type and related equipment;Maintenance;General;General;Soft
operating general site vehicles and equipment;Automotives;General;Automotives, General;Hard
such as water trucks;Automotives;General;Automotives, General;Hard
pick up trucks;Automotives;General;Automotives, General;Hard
sweepers;Maintenance;General;General;Soft
mowers;Maintenance;General;General;Soft
trimming equipment;Maintenance;General;General;Soft
etc.;Maintenance;General;General;Soft
performing janitorial work;Maintenance;General;General;Soft
painting;Painting;Art;General;Hard
installing temporary wind fences;Structural Engineering;Structural Engineering;Engineering;Hard
directing traffic at the site;Traffic Directing;General;General, Automotives;Hard, Soft
ability to perform assigned duties safely and efficiently;Attention to Detail;General;General;Soft
qa/qc engineer;Quality Control;QA, Computer Science;QA, IT;Hard
ingeniero de calidad;Quality Control;QA, Computer Science;QA, IT;Hard
well planning;Business Planning;Sales, Operations;Sales, Operations;Hard, Soft
material;Materials Management;Materials, Operations, General;Operations, General;Hard, Soft
logistic;Logistics;Logistics;Logistics;Hard, Soft
warehouse;Warehouse Management;Operations;Operations;Hard
safety policies;Health and Safety;Safety, Prevention;General, Healthcare;Hard, Soft
tender evaluation;Business Planning;Sales, Operations;Sales, Operations;Hard, Soft
supplier selection;Business Planning;Sales, Operations;Sales, Operations;Hard, Soft
on-site supervision;Operations Management;Operations;Operations;Hard, Soft
technical expert;Operations Management;Operations;Operations;Hard, Soft
business skills;Business Development;Sales, Marketing, Operations;Sales, Operations;Soft
well testing;Biochemistry;Chemistry, Research, Biology;Research;Hard
completion experience;Sales;Sales;Sales;Hard, Soft
subsea;Subsea7;Software Engineering, Construction, Environment;Operations, Engineering;Hard
shelf;Inventory Management;General, Logistics;Logistics, Sales;Hard
hygiene;Health and Safety;Safety, Prevention;General, Healthcare;Hard, Soft
environment;Sustainability;Sustainability, Prevention, Safety;Environment, Sustainability;Hard
conflict resolution;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
shipping;Supply Chain Management;Supply Chain, Operations, Logistics;Supply Chain, Logistics;Hard
receiving;Operations Management;Operations;Operations;Hard, Soft
material handling;Materials Management;Materials, Operations, General;Operations, General;Hard, Soft
inventory control;Product Management;Design, Product Management, Engineering, UX;Design;Hard
labeling;Product Management;Design, Product Management, Engineering, UX;Design;Hard
unloading;Operations Management;Operations;Operations;Hard, Soft
organizing;Operations Management;Operations;Operations;Hard, Soft
forklift operation;Rigid Vehicles;Automotives;Automotives;Hard
scanning;Product Management;Design, Product Management, Engineering, UX;Design;Hard
sorting;Product Management;Design, Product Management, Engineering, UX;Design;Hard
stocking;Product Management;Design, Product Management, Engineering, UX;Design;Hard
packing;Product Management;Design, Product Management, Engineering, UX;Design;Hard
loading;Product Management;Design, Product Management, Engineering, UX;Design;Hard
manual labor;Physical Endurance and Skills;General;General;Hard, Soft
stockroom maintenance;Product Management;Design, Product Management, Engineering, UX;Design;Hard
inventory counting;Product Management;Design, Product Management, Engineering, UX;Design;Hard
lifting;Automotives;General;Automotives, General;Hard
skills required: english;English;General;General, Languages;Soft
investigation;Auditing;General;General;Hard
high-risk activities;Physical Endurance and Skills;General;General;Hard, Soft
inspections;Auditing;General;General;Hard
legislation knowledge;Legal Counseling;Legal;General, Legal;Hard
international standards knowledge;International Relations;Communication;Communication;Hard, Soft
Microsoft applications proficiency;Microsoft Office;Operations;General;Hard, Soft
contractor management;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
oil and gas industry experience;Fuel Distribution and Logistics;Biochemistry, Sustainability;Environment, Sustainability, Automotives;Hard
HSE supervising experience;Health and Safety;Safety, Prevention;General, Healthcare;Hard, Soft
engineering degree or safety and occupational health degree;Well Educated;Schooling;General;Hard, Soft
pricing processes;Marketing Management;Marketing;Marketing;Hard, Soft
pricing review;Marketing Management;Marketing;Marketing;Hard, Soft
pricing distribution;Marketing Management;Marketing;Marketing;Hard, Soft
margin management;Marketing Management;Marketing;Marketing;Hard, Soft
pricing governance;Marketing Management;Marketing;Marketing;Hard, Soft
negotiation skills;Negotiation;Sales;Negotiation, Communication, Sales;Hard, Soft
commercial analysis;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
product positioning;Product Management;Design, Product Management, Engineering, UX;Design;Hard
customer tiering;Customer Support;General, Sales;General, Sales;Hard, Soft
production costs;Cost Analysis;Accounting, Finance, Operations;Operations;Hard, Soft
raw material costs;Cost Analysis;Accounting, Finance, Operations;Operations;Hard, Soft
profit margins;Cost Analysis;Accounting, Finance, Operations;Operations;Hard, Soft
pricing structures;Marketing Management;Marketing;Marketing;Hard, Soft
verbal communication;Communication;General;Communication;Soft
written communication;Written Communication;General;Communication;Soft
mathematical skills;Mathematics;Mathematics;Research;Hard
accounting principles;Accounting;Accounting, Finance, Operations;General, Legal;Hard
time-management;Prioritization Skills;General;General;Soft
reporting system;Reporting;General;General;Hard, Soft
CAPEX;Accounting;Accounting, Finance, Operations;General, Legal;Hard
credit limit;Accounting;Accounting, Finance, Operations;General, Legal;Hard
internal audit;Business Process;Sales, Operations;Sales, Operations;Hard, Soft
J-SOX;Financial Analysis;Data Analytics, Finance;IT, Statistics, Finance;Hard
SAP HANA;SAP HANA;Data Analytics, Operations;IT;Hard, Soft
self-starter;Proactivity;General;General;Soft
learning mindset;Resillience;General;General;Soft
business partnership;Operations Management;Operations;Operations;Hard, Soft
market knowledge;Market Research;Data Analytics;IT;Hard
policy communication;Workplace Policy Conduct;Legal, Management;General, Legal;Hard, Soft
delegation;Organizational Skills;General;General;Soft
performance evaluation;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
Japanese proficiency;Japanese;General;General, Languages;Soft
pricing analysis;Marketing Management;Marketing;Marketing;Hard, Soft
customer support;Customer Support;General, Sales;General, Sales;Hard, Soft
inbound sales;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
outbound sales;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
upselling;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
closing new business;New Business;Sales;Sales;Hard, Soft
bilingual skills;Communication;General;Communication;Soft
waste industry;Waste Management;Sustainability, Operations, Safety;Environment, Sustainability, Operations;Hard
service industry;Service Industry;General, Hospitality;General, Hospitality;Hard, Soft
empathy;Empathy;General;General;Soft
professionalism;Work Ethic;General;General;Soft
respect;Work Ethic;General;General;Soft
inbound calls;Call Center Management;General, Communication;Communication, General;Hard, Soft
outbound calls;Call Center Management;General, Communication;Communication, General;Hard, Soft
retention;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
service changes;Service Change;Sales, Operations;Sales, Operations;Hard, Soft
web leads;Sales;Sales;Sales;Hard, Soft
customer escalations;Customer Support;General, Sales;General, Sales;Hard, Soft
billing;Accounting;Accounting, Finance, Operations;General, Legal;Hard
data entry;Data Entry;Computer Science, General;IT;Hard, Soft
quality improvement;Quality Control;QA, Computer Science;QA, IT;Hard
team environment;Teamwork;General;Communication;Soft
container delivery;Delivery Process;General, Operations;Automotives, General;Hard
non-CDL;Driver License Ability;General;Automotives, General;Soft
vehicle maintenance;Maintenance;General;Automotives, General;Hard
route planning;Operations Management;Operations;Operations;Hard, Soft
adherence to policies;Workplace Policy Conduct;Legal, Management;General, Legal;Hard, Soft
minor repairs;Maintenance;General;General;Soft
waste spill cleanup;Waste Management;Sustainability, Operations, Safety;Environment, Sustainability, Operations;Hard
productivity tracking;Operations Management;Operations;Operations;Hard, Soft
good communication skills;Communication;General;Communication;Soft
goal-oriented mindset;Result Driven;General;General;Soft
valid driver's license;Driver License Ability;General;Automotives, General;Soft
naval engineering;Naval Engineering;Naval Engineering;Engineering;Hard
offshore engineering;Naval Engineering;Naval Engineering;Engineering;Hard
structural engineering;Structural Engineering;Structural Engineering;Engineering;Hard
oil and gas industry;Fuel Distribution and Logistics;Biochemistry, Sustainability;Environment, Sustainability, Automotives;Hard
floating structures;Structural Engineering;Structural Engineering;Engineering;Hard
jacket installation;Structural Engineering;Structural Engineering;Engineering;Hard
mooring systems;Naval Engineering;Naval Engineering;Engineering;Hard
topsides installation;Naval Engineering;Naval Engineering;Engineering;Hard
heavy-lift vessels;Naval Engineering;Naval Engineering;Engineering;Hard
DNVGL SESAM suite;Naval Engineering;Naval Engineering;Engineering;Hard
MOSES;Naval Engineering;Naval Engineering;Engineering;Hard
ORCAFLEX;Naval Engineering;Naval Engineering;Engineering;Hard
IACS societies;IACS;Biology, Chemistry, Data Analytics, Data Science, Research;Research;Hard
API standards;Fuel Distribution and Logistics;Biochemistry, Sustainability;Environment, Sustainability, Automotives;Hard
hull structure design;Naval Engineering;Naval Engineering;Engineering;Hard
renewable energy projects;Energy Management;Sustainability;Environment, Sustainability;Hard
pipeline installation;MEP Engineering;Engineering, Construction, Structural Engineering;Engineering;Hard
MRP system;Procurement;General, Operations, Sales;General;Hard, Soft
SAP system;SAP;Operations;General;Hard, Soft
organizational leadership;Leadership;General;Communication;Soft
managerial capabilities;Management;General;General;Soft
learning solutions;Training;Sales, Marketing, Operations;General, Sales, Operations;Soft
e-learning;E-Learning and Educational Technology;Schooling, Education;General, Communication;Hard, Soft
facilitation;Communication;General;Communication;Soft
business workshops;Business Planning;Sales, Operations;Sales, Operations;Hard, Soft
talent development plans;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
L&D process;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
leadership toolkits;Leadership;General;Communication;Soft
competency adoption;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
e-Learning content refreshes;E-Learning and Educational Technology;Schooling, Education;General, Communication;Hard, Soft
coaching certification;Employee Training and Development;General;General;Soft
end-to-end learning cycle;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
digital communications;Communication;General;Communication;Soft
facilitation skills;Communication;General;Communication;Soft
execution skills;Decision Making;General;General;Soft
Learning & Development principles;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
cultural change;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
consultative approach;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
resourcefulness;Problem Solving;General;General;Soft
self-driven;Proactivity;General;General;Soft
relationship-building;People Management;Sales, New Business, HR;Sales, HR;Hard, Soft
proficiency in English;English;General;General, Languages;Soft
equipment maintenance;Maintenance;General;General;Soft
site vehicles operation;Automotives;General;Automotives, General;Hard
track maintenance;Rigid Vehicles;Automotives;Automotives;Hard
paper pick up;Operations Management;Operations;Operations;Hard, Soft
wind fence installation;Structural Engineering;Structural Engineering;Engineering;Hard
traffic directing;Traffic Directing;General;General, Automotives;Hard, Soft
agile methodology;Project Management;Project Management;General;Hard
stakeholder management;Economics;Economics;Economics;Hard
digital trends;Digital Marketing;Marketing;Marketing, Design;Hard, Soft
customer-first mindset;Prioritizazion;General;General;Soft
accountability;Work Ethic;General;General;Soft
customer knowledge;Market Research;Data Analytics;IT;Hard
customer segmentation;Market Research;Data Analytics;IT;Hard
loyalty;Work Ethic;General;General;Soft
